"dataset","method","base_graph_method","canonical_base_graph_method","graph_seed","training_seed","relation_channel_spec","term_channel_spec","feature_transform_name","feature_transform_family","node_types_modified","feature_dim_by_type_after_loader","semantic_structural_storage_ratio","hgb_raw_file_byte_ratio","effective_total_byte_ratio","support_edge_ratio","test_micro_f1","test_macro_f1","validation_micro_f1","validation_macro_f1","official_sehgnn_unmodified","eligible_for_main_decision","eligible_for_adapter_table","cache_hygiene_pass","feature_loader_audit_pass","fit_uses_labels","fit_uses_test_labels","success","status","failed_reason"
"DBLP","feature_channel_ablation","H6-APV-skeleton","H6-relgrid-APPA100-PVVP100-PTTP00","1","1","PTTP100","PTTP100","random-projection-paper-128","random_projection","","","0.7765286382078632","0.16265398995434346","0.16265398995434346","0.8166434302029504","0.9464790000000001","0.941795","0.938272","0.935732","False","False","True","True","","False","False","True","success",""
"DBLP","feature_channel_ablation","H6-APV-skeleton","H6-relgrid-APPA100-PVVP100-PTTP00","1","2","PTTP00","PTTP00","raw","raw","","","0.19881894209127793","0.5325503160784834","0.5325503160784834","0.1759264670278754","0.9492959999999999","0.945886","0.962963","0.960235","False","False","True","True","","False","False","True","success",""
"DBLP","feature_channel_ablation","H6-APV-skeleton","H6-relgrid-APPA100-PVVP100-PTTP00","1","2","PTTP30","PTTP30","raw","raw","","","0.3721235707242166","0.5381344389755014","0.5381344389755014","0.3681323727073124","0.95","0.946746","0.962963","0.960235","False","False","True","True","","False","False","True","success",""
"DBLP","feature_channel_ablation","H6-APV-skeleton","H6-relgrid-APPA100-PVVP100-PTTP00","1","2","PTTP100","PTTP100","raw","raw","","","0.7765286382078632","0.5511646221534279","0.5511646221534279","0.8166434302029504","0.948592","0.945251","0.962963","0.960235","False","False","True","True","","False","False","True","success",""
"DBLP","feature_channel_ablation","H6-APV-skeleton","H6-relgrid-APPA100-PVVP100-PTTP00","1","2","PTTP00","PTTP00","zero-author","zero","","","0.19881894209127793","0.5325504372806109","0.5325504372806109","0.1759264670278754","0.947887","0.944611","0.9547329999999999","0.951754","False","False","True","True","","False","False","True","success",""
"DBLP","feature_channel_ablation","H6-APV-skeleton","H6-relgrid-APPA100-PVVP100-PTTP00","1","2","PTTP30","PTTP30","zero-author","zero","","","0.3721235707242166","0.538134560177629","0.538134560177629","0.3681323727073124","0.948944","0.9456610000000001","0.9547329999999999","0.951754","False","False","True","True","","False","False","True","success",""
"DBLP","feature_channel_ablation","H6-APV-skeleton","H6-relgrid-APPA100-PVVP100-PTTP00","1","2","PTTP100","PTTP100","zero-author","zero","","","0.7765286382078632","0.5511647433555554","0.5511647433555554","0.8166434302029504","0.9482389999999999","0.944833","0.9547329999999999","0.951754","False","False","True","True","","False","False","True","success",""
"DBLP","feature_channel_ablation","H6-APV-skeleton","H6-relgrid-APPA100-PVVP100-PTTP00","1","2","PTTP00","PTTP00","zero-paper","zero","","","0.19881894209127793","0.5320128603941475","0.5320128603941475","0.1759264670278754","0.948592","0.945164","0.958848","0.955212","False","False","True","True","","False","False","True","success",""
"DBLP","feature_channel_ablation","H6-APV-skeleton","H6-relgrid-APPA100-PVVP100-PTTP00","1","2","PTTP30","PTTP30","zero-paper","zero","","","0.3721235707242166","0.5375969832911656","0.5375969832911656","0.3681323727073124","0.948944","0.945681","0.962963","0.960235","False","False","True","True","","False","False","True","success",""
"DBLP","feature_channel_ablation","H6-APV-skeleton","H6-relgrid-APPA100-PVVP100-PTTP00","1","2","PTTP100","PTTP100","zero-paper","zero","","","0.7765286382078632","0.550627166469092","0.550627166469092","0.8166434302029504","0.948944","0.945684","0.962963","0.960235","False","False","True","True","","False","False","True","success",""
